Forest,BurnType,TakedownDate,TimePoint,TreeNumber,Aderidae,Anamorphidae,Anthribidae,Artematopodidae,Biphyllidae,Bostrichidae,Buprestidae,Cantharidae,Carabidae,Cerambycidae,Cerylonidae,Chrysomelidae,Cleridae,Coccinellidae,Corylophidae,Cryptophagidae,Cupedidae,Curculionidae,Dermestidae,Elateridae,Endomychidae,Erotylidae,Eucinetidae,Eucnemidae,Histeridae,Hydrophilidae,Laemophloeidae,Lampyridae,Latridiidae,Leiodidae,Melandryidae,Melyridae,Monotimdae,Monotomidae,Mordellidae,Mycetophagidae,Nitidulidae,Passandridae,Phalacridae,Phengodidae,Ptiliidae,Ptilodactylidae,Ptinidae,Pyrochroidae,Scarabaeidae,Scirtidae,Scraptiidae,Silvanidae,Sphindidae,Staphylinidae,Stenotrachelidae,Synchroidae,Tenebrionidae,Tetratomidae,Throscidae,Trogossitidae,Zopheridae
besf,medium,2025-07-03,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,3,0,3,0,0
besf,medium,2025-08-13,2,25,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
besf,recent,2025-07-03,1,19,0,0,0,0,0,2,9,0,0,7,0,0,1,0,1,3,0,6,1,15,0,0,0,6,0,0,2,2,3,0,0,0,0,0,9,0,23,0,0,0,1,0,1,0,1,2,0,2,0,7,0,1,20,0,2,0,0
besf,recent,2025-08-13,2,19,0,0,0,0,0,0,1,0,1,1,0,2,1,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
besf,recent,2025-08-13,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,2,1,0,0,0,2,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0
besf,unburned,2025-07-03,1,31,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,2,0,0,0,0
besf,unburned,2025-08-13,2,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,4,0,0,0,0,0,0,0
msf,medium,2025-07-09,1,43,0,0,0,0,0,0,1,17,0,3,0,0,0,0,0,2,0,12,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,11,0,0,0,0,0,1,3,0,0,1,0,0,5,0,0,2,1,1,0,0
msf,medium,2025-08-26,2,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
msf,recent,2025-07-09,1,37,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,16,3,20,0,0,0,1,0,0,0,1,0,2,0,0,0,0,4,1,3,0,0,0,0,1,1,1,2,2,7,1,0,12,0,0,1,0,3,0,0
msf,recent,2025-08-26,2,37,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
msf,unburned,2025-07-09,1,49,3,0,0,0,0,0,0,0,1,1,0,0,9,0,0,1,0,17,7,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,3,0,0,9,1,0,12,0,0,0,0,0,0,1
msf,unburned,2025-08-26,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0
sgl100,medium,2025-06-27,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgl100,medium,2025-08-12,2,61,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,1,0,0,0
sgl100,recent,2025-06-27,1,55,0,0,0,0,0,0,1,1,1,6,0,0,0,0,3,1,0,22,1,2,0,0,0,4,1,0,0,1,1,1,1,0,1,0,6,4,2,0,0,0,0,0,0,1,0,0,0,3,0,9,0,0,15,1,14,0,0
sgl100,recent,2025-06-27,1,58,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,19,3,6,0,0,0,2,0,0,1,0,0,1,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,26,0,3,0,0
sgl100,recent,2025-08-12,2,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0
sgl100,unburned,2025-06-27,1,67,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,4,0,3,1,0,0,1,1,0,0,0,2,2,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,9,1,7,0,0
sgl100,unburned,2025-08-12,2,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
sgl176,medium,2025-07-21,1,79,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,25,0,0,0,0,0,0,0,2,0,1,0,0,0,0,11,0,0,0,1,0,0,0
sgl176,medium,2025-08-28,2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
sgl176,recent,2025-07-21,1,73,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,25,0,3,0,0,1,2,1,0,0,0,2,0,4,0,0,2,19,1,2,0,0,0,0,1,2,0,0,0,5,1,1,8,0,0,1,1,0,0,0
sgl176,recent,2025-08-28,2,73,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
sgl176,unburned,2025-07-21,1,85,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,1
sgl176,unburned,2025-08-28,2,85,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sgl322,medium,2025-06-10,1,7,0,0,0,0,1,0,0,0,5,1,0,0,0,0,2,3,0,133,2,7,1,0,0,4,0,0,0,0,3,2,2,0,0,3,8,4,4,0,1,1,0,0,0,0,13,0,1,0,2,35,0,0,1,0,2,0,4
sgl322,medium,2025-06-10,1,12,0,0,0,0,0,0,1,1,11,3,0,0,0,1,2,8,0,122,0,11,0,0,0,3,2,0,0,3,0,5,1,0,0,5,1,2,11,0,0,0,0,0,0,0,13,0,2,6,3,22,1,0,0,1,0,0,4
sgl322,medium,2025-07-30,2,7,0,0,0,0,0,0,0,0,3,0,0,0,8,0,1,0,0,23,0,5,0,0,0,2,0,0,2,0,0,3,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,1,1,0,0,0
sgl322,recent,2025-06-09,1,1,2,0,0,0,0,1,0,0,3,7,2,0,0,1,3,10,0,55,0,2,0,1,0,5,1,2,1,0,9,3,0,0,0,1,8,2,4,0,0,0,0,0,1,0,15,0,0,1,0,81,0,0,0,1,0,0,0
sgl322,recent,2025-06-09,1,4,4,0,0,0,0,0,0,1,2,7,1,0,5,0,1,12,0,89,1,2,0,0,0,5,0,0,1,0,7,4,0,1,0,3,19,2,4,0,0,0,0,0,1,0,9,1,3,0,0,20,0,0,1,0,0,0,4
sgl322,recent,2025-07-30,2,4,0,0,1,0,0,0,0,0,2,0,0,0,2,0,3,0,0,49,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,3,1,0,0
sgl322,unburned,2025-06-10,1,13,0,0,0,0,2,0,0,2,3,2,0,0,6,0,0,1,0,107,0,10,0,0,0,13,2,0,1,0,1,0,1,0,0,7,5,1,3,0,0,0,1,0,0,0,2,0,0,2,0,22,0,0,2,0,4,1,8
sgl322,unburned,2025-07-30,2,16,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,17,0,2,0,0,0,3,0,1,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,14,0,0,0,2,0,0,0
